model,tasks,auto_score,rule_score,quality_score,pass_rate,critical_failure_rate,reference_loss,reference_ppl,unknown_response_rate,truncated_rate,mean_repeat_4_rate,median_latency_seconds,p95_latency_seconds,tokens_per_second
V4.6_best,37,49.4573,34.7748,93.505,18.9189,10.8108,2.962931,19.3546,0.0,35.1351,0.02711,0.0583,0.4943,248.11
V4.7_0200,37,49.404,33.8288,96.1295,18.9189,8.1081,2.83154,16.9716,0.0,21.6216,0.009457,0.0301,0.3963,255.03
V4.7_0400,37,52.2144,37.4646,96.4638,21.6216,8.1081,2.760238,15.8036,0.0,18.9189,0.014557,0.0337,0.4476,251.6
V4.7_0600,37,53.6155,39.4916,95.9871,21.6216,8.1081,2.724545,15.2495,0.0,21.6216,0.015227,0.032,0.439,260.8
V4.7_0800,37,53.6055,39.4916,95.947,21.6216,8.1081,2.709329,15.0192,0.0,21.6216,0.014973,0.0319,0.4398,261.76
V4.7_best,37,53.6155,39.4916,95.9871,21.6216,8.1081,2.724545,15.2495,0.0,21.6216,0.015227,0.0319,0.4389,261.36
