model,tasks,auto_score,rule_score,quality_score,pass_rate,critical_failure_rate,reference_loss,reference_ppl,unknown_response_rate,truncated_rate,mean_repeat_4_rate,median_latency_seconds,p95_latency_seconds,tokens_per_second
v49_0200,37,48.8176,32.2973,98.3784,21.6216,18.9189,3.029925,20.6957,0.0,10.8108,0.004265,0.0487,0.2169,228.37
v49_0400,37,64.0436,52.4775,98.7419,37.8378,8.1081,2.606106,13.5462,0.0,8.1081,0.00732,0.0504,0.1613,260.57
v49_0600,37,66.9257,56.1712,99.1892,43.2432,8.1081,2.41888,11.2333,0.0,5.4054,0.00784,0.057,0.2176,250.87
v49_0800,37,67.2209,56.8018,98.478,43.2432,5.4054,2.334366,10.3229,0.0,8.1081,0.007986,0.0536,0.2245,248.28
v49_best,37,67.2209,56.8018,98.478,43.2432,5.4054,2.334366,10.3229,0.0,8.1081,0.007986,0.0502,0.2163,252.12
